"","Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"39",41,"Call of Duty: Black Ops","PS3",2010,"Shooter","Activision",5.98,4.44,0.48,1.83,12.73
"40",42,"Animal Crossing: Wild World","DS",2005,"Simulation","Nintendo",2.55,3.52,5.33,0.88,12.27
"41",43,"Mario Kart 7","3DS",2011,"Racing","Nintendo",4.74,3.91,2.67,0.89,12.21
"42",44,"Halo 3","X360",2007,"Shooter","Microsoft Game Studios",7.97,2.83,0.13,1.21,12.14
"43",45,"Grand Theft Auto V","PS4",2014,"Action","Take-Two Interactive",3.8,5.81,0.36,2.02,11.98
"44",46,"Pokemon HeartGold/Pokemon SoulSilver","DS",2009,"Action","Nintendo",4.4,2.77,3.96,0.77,11.9
"45",47,"Super Mario 64","N64",1996,"Platform","Nintendo",6.91,2.85,1.91,0.23,11.89
"46",49,"Super Mario Galaxy","Wii",2007,"Platform","Nintendo",6.16,3.4,1.2,0.76,11.52
"47",50,"Pokemon Omega Ruby/Pokemon Alpha Sapphire","3DS",2014,"Role-Playing","Nintendo",4.23,3.37,3.08,0.65,11.33
"48",51,"Super Mario Land 2: 6 Golden Coins","GB",1992,"Adventure","Nintendo",6.16,2.04,2.69,0.29,11.18
"49",52,"Grand Theft Auto IV","X360",2008,"Action","Take-Two Interactive",6.76,3.1,0.14,1.03,11.02
"50",53,"Gran Turismo","PS",1997,"Racing","Sony Computer Entertainment",4.02,3.87,2.54,0.52,10.95
"51",54,"Super Mario 3D Land","3DS",2011,"Platform","Nintendo",4.89,2.99,2.13,0.78,10.79
"52",55,"Gran Turismo 5","PS3",2010,"Racing","Sony Computer Entertainment",2.96,4.88,0.81,2.12,10.77
"53",56,"Call of Duty: Modern Warfare 2","PS3",2009,"Shooter","Activision",4.99,3.69,0.38,1.63,10.69
"54",57,"Grand Theft Auto IV","PS3",2008,"Action","Take-Two Interactive",4.76,3.76,0.44,1.62,10.57
"55",58,"Super Mario All-Stars","SNES",1993,"Platform","Nintendo",5.99,2.15,2.12,0.29,10.55
"56",59,"Pokemon FireRed/Pokemon LeafGreen","GBA",2004,"Role-Playing","Nintendo",4.34,2.65,3.15,0.35,10.49
"57",60,"Super Mario 64","DS",2004,"Platform","Nintendo",5.08,3.11,1.25,0.98,10.42
"58",61,"Just Dance 3","Wii",2011,"Misc","Ubisoft",6.05,3.15,0,1.07,10.26
"59",62,"Call of Duty: Ghosts","X360",2013,"Shooter","Activision",6.72,2.63,0.04,0.82,10.21
"60",63,"Halo: Reach","X360",2010,"Shooter","Microsoft Game Studios",7.03,1.98,0.08,0.78,9.88
"61",64,"Mario Kart 64","N64",1996,"Racing","Nintendo",5.55,1.94,2.23,0.15,9.87
"62",65,"New Super Mario Bros. 2","3DS",2012,"Platform","Nintendo",3.66,3.07,2.47,0.63,9.82
"63",66,"Halo 4","X360",2012,"Shooter","Microsoft Game Studios",6.63,2.36,0.04,0.73,9.76
"64",67,"Final Fantasy VII","PS",1997,"Role-Playing","Sony Computer Entertainment",3.01,2.47,3.28,0.96,9.72
"65",68,"Call of Duty: Ghosts","PS3",2013,"Shooter","Activision",4.09,3.73,0.38,1.38,9.59
"66",69,"Just Dance 2","Wii",2010,"Misc","Ubisoft",5.84,2.89,0.01,0.78,9.52
"67",70,"Gran Turismo 2","PS",1999,"Racing","Sony Computer Entertainment",3.88,3.42,1.69,0.5,9.49
"68",71,"Call of Duty 4: Modern Warfare","X360",2007,"Shooter","Activision",5.91,2.38,0.13,0.9,9.32
"69",72,"Donkey Kong Country","SNES",1994,"Platform","Nintendo",4.36,1.71,3,0.23,9.3
"70",73,"Minecraft","X360",2013,"Misc","Microsoft Game Studios",5.58,2.83,0.02,0.77,9.2
"71",74,"Animal Crossing: New Leaf","3DS",2012,"Simulation","Nintendo",2.01,2.32,4.36,0.41,9.09
"72",75,"Mario Party DS","DS",2007,"Misc","Nintendo",4.46,1.88,1.98,0.7,9.02
"73",76,"The Elder Scrolls V: Skyrim","X360",2011,"Role-Playing","Bethesda Softworks",5.03,2.86,0.1,0.85,8.84
"74",77,"Super Mario Kart","SNES",1992,"Racing","Nintendo",3.54,1.24,3.81,0.18,8.76
"75",78,"FIFA 16","PS4",2015,"Sports","Electronic Arts",1.11,6.06,0.06,1.26,8.49
"76",79,"Wii Party","Wii",2010,"Misc","Nintendo",1.79,3.53,2.49,0.68,8.49
"77",80,"Halo 2","XB",2004,"Shooter","Microsoft Game Studios",6.82,1.53,0.05,0.08,8.49
"78",81,"Mario Party 8","Wii",2007,"Misc","Nintendo",3.81,2.3,1.58,0.73,8.42
"79",82,"Pokemon Black 2/Pokemon White 2","DS",2012,"Role-Playing","Nintendo",2.91,1.86,3.14,0.43,8.33
"80",83,"FIFA Soccer 13","PS3",2012,"Action","Electronic Arts",1.06,5.05,0.13,2.01,8.24
"81",85,"GoldenEye 007","N64",1997,"Shooter","Nintendo",5.8,2.01,0.13,0.15,8.09
"82",86,"Mario & Sonic at the Olympic Games","Wii",2007,"Sports","Sega",2.58,3.9,0.66,0.91,8.06
"83",87,"Final Fantasy X","PS2",2001,"Role-Playing","Sony Computer Entertainment",2.91,2.07,2.73,0.33,8.05
"84",88,"Final Fantasy VIII","PS",1999,"Role-Playing","SquareSoft",2.28,1.72,3.63,0.23,7.86
"85",89,"Pokémon Platinum Version","DS",2008,"Role-Playing","Nintendo",2.82,1.78,2.69,0.55,7.84
"86",91,"Grand Theft Auto: Liberty City Stories","PSP",2005,"Action","Take-Two Interactive",2.9,2.83,0.24,1.75,7.72
"87",92,"Super Mario Galaxy 2","Wii",2010,"Platform","Nintendo",3.66,2.42,0.98,0.64,7.69
"88",93,"Star Wars Battlefront (2015)","PS4",2015,"Shooter","Electronic Arts",2.93,3.29,0.22,1.23,7.67
"89",94,"Call of Duty: Advanced Warfare","PS4",2014,"Shooter","Activision",2.8,3.3,0.14,1.37,7.6
"90",95,"The Legend of Zelda: Ocarina of Time","N64",1998,"Action","Nintendo",4.1,1.89,1.45,0.16,7.6
"91",96,"Crash Bandicoot 2: Cortex Strikes Back","PS",1997,"Platform","Sony Computer Entertainment",3.78,2.17,1.31,0.31,7.58
"92",97,"Super Mario Bros. 2","NES",1988,"Platform","Nintendo",5.39,1.18,0.7,0.19,7.46
"93",98,"Super Smash Bros. for Wii U and 3DS","3DS",2014,"Fighting","Nintendo",3.24,1.35,2.42,0.43,7.45
"94",99,"Call of Duty: World at War","X360",2008,"Shooter","Activision",4.79,1.9,0,0.69,7.37
"95",100,"Battlefield 3","X360",2011,"Shooter","Electronic Arts",4.46,2.13,0.06,0.69,7.34
"96",101,"The Legend of Zelda: Twilight Princess","Wii",2006,"Action","Nintendo",3.83,2.19,0.6,0.7,7.31
"97",102,"Call of Duty: Black Ops 3","XOne",2015,"Shooter","Activision",4.52,2.09,0.01,0.67,7.3
"98",103,"Just Dance","Wii",2009,"Misc","Ubisoft",3.51,3.03,0,0.73,7.27
"99",104,"Battlefield 3","PS3",2011,"Shooter","Electronic Arts",2.85,2.93,0.35,1.1,7.23
"100",105,"Need for Speed Underground","PS2",2003,"Racing","Electronic Arts",3.27,2.83,0.08,1.02,7.2
"101",106,"Tekken 3","PS",1998,"Fighting","Sony Computer Entertainment",3.27,2.22,1.4,0.29,7.16
"102",107,"Crash Bandicoot 3: Warped","PS",1998,"Platform","Sony Computer Entertainment",3.68,1.75,1.42,0.28,7.13
"103",108,"Super Smash Bros. Melee","GC",2001,"Fighting","Nintendo",4.41,1.04,1.39,0.22,7.07
"104",109,"Mario Kart 8","WiiU",2014,"Racing","Nintendo",3.13,2.07,1.27,0.49,6.96
"105",110,"Fallout 4","PS4",2015,"Role-Playing","Bethesda Softworks",2.47,3.15,0.24,1.1,6.96
"106",111,"Mario Kart: Double Dash!!","GC",2003,"Racing","Nintendo",4.12,1.77,0.87,0.19,6.95
"107",112,"Just Dance 4","Wii",2012,"Misc","Ubisoft",4.14,2.21,0,0.56,6.91
"108",114,"Need for Speed Underground 2","PS2",2004,"Racing","Electronic Arts",2.71,3.02,0.08,1.09,6.9
"109",115,"Medal of Honor: Frontline","PS2",2002,"Shooter","Electronic Arts",2.93,2.75,0.17,0.99,6.83
"110",116,"Uncharted 3: Drake's Deception","PS3",2011,"Action","Sony Computer Entertainment",2.77,2.8,0.19,1.06,6.83
"111",117,"Crash Bandicoot","PS",1996,"Platform","Sony Computer Entertainment",3.23,2.35,0.94,0.3,6.82
"112",118,"Zumba Fitness","Wii",2010,"Sports","505 Games",3.5,2.64,0,0.67,6.81
"113",119,"Gears of War 2","X360",2008,"Shooter","Microsoft Game Studios",4.15,1.92,0.06,0.64,6.76
"114",120,"Uncharted 2: Among Thieves","PS3",2009,"Action","Sony Computer Entertainment",3.27,2.25,0.21,1,6.73
"115",121,"Call of Duty 4: Modern Warfare","PS3",2007,"Shooter","Activision",3.1,2.3,0.28,1.04,6.72
"116",123,"Big Brain Academy","DS",2005,"Misc","Nintendo",1.67,2.78,1.6,0.62,6.67
"117",124,"Red Dead Redemption","PS3",2010,"Action","Take-Two Interactive",2.79,2.61,0.17,1.03,6.6
"118",126,"Donkey Kong Country Returns","Wii",2010,"Platform","Nintendo",3.25,1.84,1.03,0.47,6.59
"119",127,"The Elder Scrolls V: Skyrim","PS3",2011,"Role-Playing","Bethesda Softworks",2.55,2.71,0.25,1.05,6.56
"120",129,"Assassin's Creed III","PS3",2012,"Action","Ubisoft",2.64,2.56,0.16,1.14,6.5
"121",130,"Halo: Combat Evolved","XB",2001,"Shooter","Microsoft Game Studios",4.98,1.3,0.08,0.07,6.43
"122",131,"Pokémon Emerald Version","GBA",2004,"Role-Playing","Nintendo",2.57,1.58,2.06,0.21,6.41
"123",132,"Kingdom Hearts","PS2",2002,"Role-Playing","Sony Computer Entertainment",3.64,1.2,1.49,0.07,6.4
"124",133,"Pokémon Crystal Version","GB",2000,"Role-Playing","Nintendo",2.55,1.56,1.29,0.99,6.39
"125",134,"Halo 3: ODST","X360",2009,"Shooter","Microsoft Game Studios",4.34,1.35,0.06,0.61,6.36
"126",135,"Red Dead Redemption","X360",2010,"Action","Take-Two Interactive",3.7,1.97,0.09,0.57,6.34
"127",136,"Super Mario Sunshine","GC",2002,"Platform","Nintendo",4.01,1.26,0.87,0.17,6.31
"128",139,"Driver","PS",1999,"Action","GT Interactive",3.11,2.8,0.02,0.33,6.27
"129",140,"Kinect Sports","X360",2010,"Sports","Microsoft Game Studios",3.92,1.78,0.03,0.51,6.24
"130",141,"Gears of War 3","X360",2011,"Shooter","Microsoft Game Studios",4.05,1.62,0.07,0.49,6.24
"131",142,"Gears of War","X360",2006,"Shooter","Microsoft Game Studios",3.54,1.9,0.07,0.6,6.11
"132",143,"Metal Gear Solid 2: Sons of Liberty","PS2",2001,"Action","Konami Digital Entertainment",2.45,2.01,0.87,0.72,6.05
"133",144,"Sonic the Hedgehog 2","GEN",1992,"Platform","Sega",4.47,1.2,0.16,0.19,6.03
"134",145,"Metal Gear Solid 4: Guns of the Patriots","PS3",2008,"Action","Konami Digital Entertainment",2.63,1.74,0.83,0.83,6.03
"135",146,"Metal Gear Solid","PS",1998,"Action","Konami Digital Entertainment",3.18,1.83,0.78,0.24,6.03
"136",147,"The Last of Us","PS3",2013,"Action","Sony Computer Entertainment Europe",2.41,2.28,0.28,1.01,5.99
"137",149,"LittleBigPlanet","PS3",2008,"Platform","Sony Computer Entertainment",2.8,2.05,0.17,0.9,5.92
"138",151,"LEGO Star Wars: The Complete Saga","Wii",2007,"Action","LucasArts",3.66,1.63,0,0.53,5.83
"139",152,"Resident Evil 2","PS",1998,"Action","Virgin Interactive",1.88,1.47,2.02,0.45,5.82
"140",153,"Tekken 2","PS",1996,"Fighting","Sony Computer Entertainment",2.26,1.89,1.36,0.23,5.74
"141",154,"Cooking Mama","DS",2006,"Simulation","505 Games",3.13,1.94,0.07,0.58,5.72
"142",155,"Destiny","PS4",2014,"Shooter","Activision",2.49,2.05,0.16,0.96,5.65
"143",157,"Assassin's Creed II","PS3",2009,"Action","Ubisoft",2.54,1.95,0.21,0.87,5.57
"144",159,"Assassin's Creed","X360",2007,"Adventure","Ubisoft",3.28,1.65,0.07,0.55,5.55
"145",160,"Batman: Arkham City","PS3",2011,"Action","Warner Bros. Interactive Entertainment",2.7,1.91,0.11,0.8,5.53
"146",161,"Forza Motorsport 3","X360",2009,"Racing","Microsoft Game Studios",2.99,1.92,0.1,0.51,5.51
"147",163,"Super Mario Advance","GBA",2001,"Platform","Nintendo",3.14,1.24,0.91,0.2,5.49
"148",164,"Mario Kart: Super Circuit","GBA",2001,"Racing","Nintendo",2.62,1.64,0.99,0.23,5.47
"149",165,"Super Mario World","GBA",2001,"Platform","Nintendo",3.21,1.11,0.95,0.2,5.46
"150",166,"Pokemon Stadium","N64",1999,"Strategy","Nintendo",3.18,1.24,0.94,0.09,5.45
"151",167,"Call of Duty: World at War","PS3",2008,"Shooter","Activision",2.72,1.87,0,0.84,5.43
"152",168,"Crash Bandicoot: The Wrath of Cortex","PS2",2001,"Platform","Universal Interactive",2.07,2.29,0.24,0.82,5.42
"153",169,"Minecraft","PS3",2014,"Misc","Sony Computer Entertainment",1.97,2.51,0,0.94,5.42
"154",170,"Final Fantasy XIII","PS3",2009,"Role-Playing","Square Enix",1.74,1.24,1.87,0.52,5.36
"155",172,"Pokemon Pinball","GB",1999,"Misc","Nintendo",3.02,1.12,1.01,0.16,5.31
"156",173,"Assassin's Creed III","X360",2012,"Action","Ubisoft",3.13,1.71,0.03,0.44,5.3
"157",175,"Final Fantasy X-2","PS2",2003,"Role-Playing","Electronic Arts",1.92,1.08,2.11,0.17,5.29
"158",177,"Assassin's Creed II","X360",2009,"Action","Ubisoft",3.1,1.56,0.08,0.51,5.27
"159",178,"Professor Layton and the Curious Village","DS",2007,"Puzzle","Nintendo",1.22,2.48,1.03,0.52,5.26
"160",179,"Tomb Raider II","PS",1997,"Action","Eidos Interactive",2.3,2.46,0.2,0.28,5.24
"161",182,"Diablo III","PC",2012,"Role-Playing","Activision",2.43,2.15,0,0.62,5.2
"162",183,"Super Mario Bros. 3","GBA",2003,"Platform","Nintendo",2.93,1.25,0.83,0.2,5.2
"163",184,"New Super Mario Bros. U","WiiU",2012,"Platform","Nintendo",2.32,1.3,1.27,0.31,5.19
"164",186,"FIFA Soccer 13","X360",2012,"Action","Electronic Arts",1.08,3.48,0.03,0.58,5.18
"165",187,"The Legend of Zelda: Phantom Hourglass","DS",2007,"Action","Nintendo",1.9,1.83,0.95,0.49,5.17
"166",190,"Mario & Sonic at the Olympic Games","DS",2008,"Sports","Sega",1.64,2.48,0.44,0.58,5.14
"167",191,"Medal of Honor: Rising Sun","PS2",2003,"Shooter","Electronic Arts",1.98,2.23,0.13,0.8,5.13
"168",193,"Fable III","X360",2010,"Role-Playing","Microsoft Game Studios",3.59,1.11,0.05,0.38,5.13
"169",194,"Call of Duty: Advanced Warfare","XOne",2014,"Shooter","Activision",3.21,1.53,0.01,0.38,5.13
"170",195,"Microsoft Flight Simulator","PC",1996,"Simulation","Microsoft Game Studios",3.22,1.69,0,0.2,5.12
"171",197,"Resident Evil 5","PS3",2009,"Action","Capcom",1.96,1.43,1.08,0.65,5.11
"172",198,"Grand Theft Auto V","XOne",2014,"Action","Take-Two Interactive",2.66,2.01,0,0.41,5.08
"173",199,"Grand Theft Auto: Vice City Stories","PSP",2006,"Action","Take-Two Interactive",1.7,2.02,0.16,1.21,5.08
"174",201,"Super Mario Bros.","GB",1999,"Platform","Nintendo",3.4,1.3,0.15,0.22,5.07
"175",202,"Resident Evil","PS",1996,"Action","Virgin Interactive",2.05,1.16,1.11,0.73,5.05
"176",203,"Tony Hawk's Pro Skater","PS",1999,"Sports","Activision",3.42,1.38,0.02,0.2,5.02
"177",204,"Super Smash Bros. for Wii U and 3DS","WiiU",2014,"Fighting","Nintendo",2.59,1.06,0.8,0.57,5.02
"178",205,"Warzone 2100","PS",1999,"Strategy","Eidos Interactive",2.79,1.89,0,0.33,5.01
"179",206,"Spyro the Dragon","PS",1998,"Platform","Sony Computer Entertainment",3.36,1.36,0.07,0.21,5
"180",207,"Link's Crossbow Training","Wii",2007,"Shooter","Nintendo",3.06,1.18,0.29,0.46,5
"181",209,"Fallout 3","X360",2008,"Role-Playing","Bethesda Softworks",3.39,1.03,0.09,0.44,4.96
"182",210,"Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness","DS",2007,"Role-Playing","Nintendo",1.85,1.2,1.54,0.37,4.96
"183",211,"Uncharted: Drake's Fortune","PS3",2007,"Action","Sony Computer Entertainment",2.31,1.73,0.12,0.78,4.94
"184",213,"LEGO Star Wars: The Complete Saga","DS",2007,"Action","LucasArts",2.89,1.54,0,0.46,4.9
"185",217,"God of War III","PS3",2010,"Action","Sony Computer Entertainment",2.74,1.36,0.12,0.63,4.84
"186",218,"StarCraft II: Wings of Liberty","PC",2010,"Strategy","Activision",2.56,1.68,0,0.59,4.83
"187",219,"Assassin's Creed","PS3",2007,"Adventure","Ubisoft",1.91,2,0.09,0.83,4.83
"188",221,"Crash Team Racing","PS",1999,"Racing","Sony Computer Entertainment",2.57,1.57,0.44,0.21,4.79
"189",223,"Batman: Arkham City","X360",2011,"Action","Warner Bros. Interactive Entertainment",2.99,1.31,0.04,0.41,4.76
"190",224,"Driver 2","PS",2000,"Action","Atari",2.36,2.1,0.02,0.25,4.73
"191",225,"The Simpsons: Hit & Run","PS2",2003,"Racing","Vivendi Games",1.73,2.19,0,0.79,4.7
"192",226,"Tony Hawk's Pro Skater 2","PS",2000,"Sports","Activision",3.05,1.41,0.02,0.2,4.68
"193",227,"Animal Crossing: City Folk","Wii",2008,"Simulation","Nintendo",1.87,1.12,1.32,0.37,4.68
"194",228,"The Lord of the Rings: The Two Towers","PS2",2002,"Action","Electronic Arts",1.94,1.95,0.08,0.7,4.67
"195",229,"Forza Motorsport 4","X360",2011,"Racing","Microsoft Game Studios",2.08,2.04,0.06,0.47,4.64
"196",230,"Tomb Raider","PS",1996,"Action","Eidos Interactive",2.29,1.97,0.13,0.24,4.63
"197",231,"Guitar Hero III: Legends of Rock","Wii",2007,"Misc","Activision",3.06,1.12,0,0.44,4.62
"198",234,"Mario & Sonic at the Olympic Winter Games","Wii",2009,"Sports","Sega",1.89,1.99,0.22,0.48,4.58
"199",235,"Luigi's Mansion: Dark Moon","3DS",2013,"Action","Nintendo",1.78,1.39,1.1,0.3,4.58
"200",236,"Splatoon","WiiU",2015,"Shooter","Nintendo",1.55,1.15,1.44,0.43,4.57
"201",237,"The Last of Us","PS4",2014,"Action","Sony Computer Entertainment",1.78,1.87,0.07,0.82,4.55
"202",242,"Spider-Man: The Movie","PS2",2002,"Action","Activision",2.71,1.51,0.03,0.23,4.48
"203",244,"Uncharted: The Nathan Drake Collection","PS4",2015,"Action","Sony Computer Entertainment",1.96,1.69,0.08,0.74,4.47
"204",245,"Call of Duty: Advanced Warfare","PS3",2014,"Shooter","Activision",1.54,1.94,0.19,0.77,4.45
"205",246,"God of War","PS2",2005,"Action","Sony Computer Entertainment",2.71,1.29,0.02,0.43,4.45
"206",247,"Nintendo Land","WiiU",2012,"Misc","Nintendo",2.55,1.11,0.46,0.33,4.44
"207",248,"Michael Jackson: The Experience","Wii",2010,"Misc","Ubisoft",2.67,1.35,0.01,0.39,4.42
"208",249,"Tony Hawk's Pro Skater 3","PS2",2001,"Sports","Activision",2.66,1.29,0.01,0.46,4.41
"209",251,"The Elder Scrolls IV: Oblivion","X360",2006,"Role-Playing","Take-Two Interactive",2.82,1.05,0.13,0.4,4.39
"210",253,"Need for Speed: Most Wanted","PS2",2005,"Racing","Electronic Arts",2.03,1.79,0.08,0.47,4.37
"211",254,"Resistance: Fall of Man","PS3",2006,"Shooter","Sony Computer Entertainment",1.73,1.73,0.14,0.75,4.35
"212",258,"Call of Duty: Advanced Warfare","X360",2014,"Shooter","Activision",2.75,1.18,0,0.37,4.31
"213",260,"Fable II","X360",2008,"Role-Playing","Microsoft Game Studios",2.51,1.27,0.11,0.41,4.31
"214",261,"Halo 5: Guardians","XOne",2015,"Shooter","Microsoft Game Studios",2.64,1.2,0.03,0.39,4.26
"215",262,"Super Mario 3D World","WiiU",2013,"Platform","Nintendo",2.11,1.11,0.72,0.3,4.25
"216",263,"Batman: Arkham Asylum","PS3",2009,"Action","Eidos Interactive",2.23,1.34,0.07,0.61,4.25
"217",264,"Assassin's Creed: Revelations","PS3",2011,"Action","Ubisoft",1.41,2.02,0.1,0.72,4.24
"218",265,"Namco Museum","GBA",2001,"Misc","Namco Bandai Games",3,1.11,0.05,0.07,4.24
"219",267,"Daxter","PSP",2006,"Platform","Sony Computer Entertainment",2.45,1.02,0,0.75,4.22
"220",268,"Warcraft II: Tides of Darkness","PC",1995,"Strategy","Activision",1.7,2.27,0,0.23,4.21
"221",269,"The Legend of Zelda: Ocarina of Time","3DS",2011,"Action","Nintendo",2.03,1.27,0.62,0.3,4.21
"222",272,"Uncharted 4: A Thief's End","PS4",2016,"Shooter","Sony Computer Entertainment",1.3,2.07,0.18,0.65,4.2
"223",273,"Gran Turismo 5 Prologue","PS3",2007,"Racing","Sony Computer Entertainment",1.28,1.83,0.57,0.53,4.2
"224",274,"Assassin's Creed: Revelations","X360",2011,"Action","Ubisoft",2.25,1.47,0.04,0.43,4.19
"225",275,"Street Fighter IV","PS3",2009,"Fighting","Capcom",2.02,1.06,0.58,0.53,4.19
"226",281,"Watch Dogs","PS4",2014,"Action","Ubisoft",1.4,1.86,0.11,0.77,4.14
"227",285,"The Legend of Zelda: Skyward Sword","Wii",2011,"Action","Nintendo",2.14,1.2,0.37,0.4,4.1
"228",287,"Carnival Games","Wii",2007,"Misc","Take-Two Interactive",2.13,1.5,0.05,0.42,4.1
"229",288,"Fallout 4","XOne",2015,"Role-Playing","Bethesda Softworks",2.45,1.26,0.01,0.37,4.09
"230",289,"World of Warcraft: The Burning Crusade","PC",2007,"Role-Playing","Activision",2.57,1.52,0,0,4.09
"231",290,"Fallout: New Vegas","X360",2010,"Role-Playing","Bethesda Softworks",2.65,1.06,0.04,0.33,4.08
"232",292,"Forza Motorsport 2","X360",2007,"Racing","Microsoft Game Studios",2.35,1.28,0.03,0.41,4.06
"233",294,"Namco Museum Vol.3","PS",1996,"Misc","Sony Computer Entertainment",2.28,1.55,0.16,0.06,4.05
"234",295,"Tekken Tag Tournament","PS2",2000,"Fighting","Namco Bandai Games",1.68,1.51,0.51,0.35,4.05
"235",296,"Far Cry 4","PS4",2014,"Shooter","Ubisoft",1.12,2.12,0.1,0.69,4.03
"236",298,"Minecraft","PS4",2014,"Misc","Sony Computer Entertainment Europe",1.38,1.87,0.12,0.65,4.02
"237",300,"Fallout 3","PS3",2008,"Role-Playing","Bethesda Softworks",2.15,1.2,0.07,0.59,4.01
"238",303,"Namco Museum: 50th Anniversary","PS2",2005,"Misc","Namco Bandai Games",2.08,1.35,0,0.54,3.98
"239",304,"EA Sports Active","Wii",2009,"Sports","Electronic Arts",2.1,1.36,0.06,0.4,3.92
"240",305,"Assassin's Creed: Unity","PS4",2014,"Action","Ubisoft",1.18,1.96,0.08,0.7,3.92
"241",307,"Tony Hawk's Underground","PS2",2003,"Sports","Activision",2.29,1.17,0.01,0.42,3.9
